                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1387,                  3.982,                 1.8383,                0.10882,                0.06944,                0.03439,                0.01227,                 2.2151,                 4.9041,                  2.156,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.8712,                 3.0918,                 1.6039,                0.02643,                0.09722,                0.01491,                 0.0058,                 2.3048,                 5.4664,                 2.0654,              0.0004085,              0.0004085,              0.0004085
                      3,                 1.9258,                 2.7613,                 1.6168,                0.13786,                0.08333,                0.04302,                0.02299,                 2.2467,                 4.8414,                   2.15,             0.00060837,             0.00060837,             0.00060837
                      4,                 1.8478,                 2.4669,                 1.5606,                0.03588,                0.08333,                0.01556,                 0.0075,                 2.9005,                 22.967,                 2.8454,             0.00079967,             0.00079967,             0.00079967
                      5,                  1.879,                 2.4819,                 1.6273,                0.02215,                0.08333,                0.01571,                0.00499,                 2.5148,                 10.071,                 2.4527,             0.00098238,             0.00098238,             0.00098238
                      6,                 1.9504,                 2.4697,                 1.6661,                0.25169,                0.08333,                0.04792,                0.02334,                 2.7644,                 7.0908,                 2.6025,              0.0011565,              0.0011565,              0.0011565
                      7,                 1.9726,                 2.3337,                 1.7091,                0.52725,                0.06944,                0.01223,                0.00471,                 2.6524,                 12.109,                 2.7046,              0.0013221,              0.0013221,              0.0013221
                      8,                 1.9634,                 2.3053,                 1.7087,                0.03574,                0.05556,                0.00988,                0.00624,                 3.2533,                 9.8055,                 3.4325,               0.001436,               0.001436,               0.001436
                      9,                 2.0362,                 2.3234,                  1.733,                0.09654,                0.11111,                0.02338,                0.00874,                 2.8891,                 10.251,                 3.0533,              0.0014029,              0.0014029,              0.0014029
                     10,                  1.946,                 2.2093,                 1.7026,                 0.1119,                0.05556,                0.02634,                0.00855,                 2.6517,                 10.482,                 2.6437,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.7992,                  2.117,                 1.6457,                0.46676,                0.16667,                0.05464,                0.00874,                 2.4027,                 10.758,                  2.382,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.7252,                 1.8681,                 1.5755,                0.05066,                0.15278,                0.03138,                0.00647,                 2.6494,                 8.1294,                 2.7059,              0.0013039,              0.0013039,              0.0013039
                     13,                  1.722,                 1.9342,                 1.5748,                0.03258,                0.08333,                 0.0155,                0.00582,                 2.6372,                 7.5466,                 2.4703,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.7387,                  2.009,                 1.5884,                0.11099,                0.08333,                0.03685,                0.01027,                 2.7595,                 6.9074,                 2.6479,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.7398,                 1.9259,                  1.621,                0.26902,                0.06944,                0.04479,                0.01174,                 2.4773,                 6.2443,                 2.4326,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.7538,                 1.9167,                 1.6345,                0.02434,                0.08333,                0.01734,                0.00515,                 2.8567,                 3.9988,                 2.6661,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.6617,                 1.7827,                 1.5511,                0.09844,                0.09722,                0.04402,                   0.02,                 2.4396,                 3.5206,                 2.3897,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.6424,                  1.674,                 1.5264,                0.02702,                0.05556,                0.00747,                0.00178,                 3.3551,                 4.5213,                  2.988,              0.0011059,              0.0011059,              0.0011059
                     19,                  1.637,                 1.5952,                 1.4888,                0.07871,                0.05556,                 0.0119,                0.00446,                 3.1043,                 4.9179,                 2.8189,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.6302,                 1.6156,                  1.516,                0.05489,                0.18056,                0.03563,                0.01391,                 2.5103,                 3.4756,                 2.3579,              0.0010399,              0.0010399,              0.0010399
